generation,s0d0,s0d1,s0d2,s0d3,s1d0,s1d1,s1d2,s1d3,s2d0,s2d1,s2d2,s2d3,s3d0,s3d1,s3d2,s3d3,s4d0,s4d1,s4d2,s4d3,s5d0,s5d1,s5d2,s5d3,jsd_sym0,jsd_sym1,jsd_sym2,jsd_sym3,jsd_sym4,jsd_sym5,trajectory_jsd,contrast_01,contrast_02,contrast_03,contrast_04,contrast_05,contrast_12,contrast_13,contrast_14,contrast_15,contrast_23,contrast_24,contrast_25,contrast_34,contrast_35,contrast_45
230,30430,0,0,0,44737,0,0,0,68828,0,0,0,44024,0,0,0,24489,0,0,0,38451,0,0,0,0.007397,0.006556,0.007752,0.027772,0.012760,0.012918,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
240,17596,0,0,0,27349,0,0,0,45866,0,0,0,35113,0,0,0,17677,0,0,0,26036,0,0,0,0.010781,0.009169,0.009478,0.030359,0.028270,0.021472,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
250,26387,0,0,0,39762,0,0,0,69176,0,0,0,40490,0,0,0,26257,0,0,0,30955,0,0,0,0.007323,0.011012,0.006990,0.012023,0.010756,0.010029,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
260,18332,0,0,0,33868,0,0,0,53240,0,0,0,36225,0,0,0,19570,0,0,0,21236,0,0,0,0.013523,0.016363,0.015668,0.031535,0.021684,0.024868,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
270,22838,0,0,0,37199,0,0,0,58814,0,0,0,39083,0,0,0,21407,0,0,0,26494,0,0,0,0.017899,0.016479,0.015276,0.025619,0.027294,0.024180,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
280,16412,0,0,0,34483,0,0,0,55161,0,0,0,32294,0,0,0,15821,0,0,0,22744,0,0,0,0.007464,0.005226,0.008410,0.015724,0.009901,0.012789,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
290,18996,0,0,0,44890,0,0,0,56420,0,0,0,27897,0,0,0,19601,0,0,0,22353,0,0,0,0.006225,0.009631,0.007391,0.009223,0.004043,0.006145,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
300,21734,0,0,0,45302,0,0,0,58480,0,0,0,28349,0,0,0,19428,0,0,0,26966,0,0,0,0.004321,0.003329,0.006525,0.008851,0.007463,0.006156,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
310,20720,0,0,0,34347,0,0,0,47683,0,0,0,31802,0,0,0,19947,0,0,0,23845,0,0,0,0.013770,0.010910,0.010521,0.022723,0.017585,0.017352,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
320,19490,0,0,0,43809,0,0,0,53896,0,0,0,37764,0,0,0,24447,0,0,0,29502,0,0,0,0.010460,0.004340,0.007134,0.052531,0.015671,0.016161,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
330,18629,0,0,0,40858,0,0,0,50103,0,0,0,27233,0,0,0,21877,0,0,0,20657,0,0,0,0.017421,0.017012,0.021764,0.019536,0.021884,0.015826,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
340,34013,0,0,0,49629,0,0,0,59599,0,0,0,35904,0,0,0,33628,0,0,0,32333,0,0,0,0.014661,0.013675,0.015313,0.014998,0.012192,0.010886,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
350,20395,0,0,0,38968,0,0,0,52303,0,0,0,32745,0,0,0,20017,0,0,0,26525,0,0,0,0.017203,0.023379,0.032795,0.052495,0.030112,0.029702,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
360,20481,0,0,0,35429,0,0,0,42690,0,0,0,37165,0,0,0,25360,0,0,0,36150,0,0,0,0.019261,0.012212,0.015619,0.043556,0.020039,0.021945,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
370,18503,0,0,0,30334,0,0,0,40959,0,0,0,22298,0,0,0,19231,0,0,0,28130,0,0,0,0.007975,0.005419,0.008184,0.013468,0.008585,0.007845,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
380,22744,0,0,0,53354,0,0,0,62732,0,0,0,25434,0,0,0,22615,0,0,0,28102,0,0,0,0.010464,0.006728,0.010375,0.014195,0.015026,0.010470,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
390,21955,0,0,0,52541,0,0,0,65348,0,0,0,33954,0,0,0,23823,0,0,0,28762,0,0,0,0.005644,0.005733,0.005342,0.019465,0.012434,0.012984,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
