generation,avg_fitness,max_fitness,signals_emitted,iconicity,mutual_info,jsd_no_pred,jsd_pred,silence_corr,sender_fit_corr,traj_fluct_ratio,receiver_fit_corr,response_fit_corr,silence_onset_jsd,silence_move_delta,avg_base_hidden,min_base_hidden,max_base_hidden,avg_signal_hidden,min_signal_hidden,max_signal_hidden,zone_deaths,signal_entropy,freeze_zone_deaths,food_mi,poison_eaten,energy_delta_mi
66500,70034.5312,838450.0000,277128,0.082951,0.000000,0.022196,0.009133,0.287446,-0.636815,0.000000,0.264597,0.067252,0.035835,-0.099628,12.5,7,18,5.6,2,11,4061,1.734505,2258,0.001407,0,0.000132
66510,35073.6719,600650.0000,196662,0.127377,0.000000,0.015518,0.010079,0.187587,-0.688939,0.000000,0.074398,0.111214,0.044175,0.020223,12.4,6,18,5.6,2,11,5509,1.734258,4541,0.000835,0,0.000804
66520,32115.9336,548800.0000,198970,0.008993,0.000000,0.034253,0.006098,0.218041,-0.619234,0.000000,0.045340,0.149959,0.043579,-0.120196,12.5,7,19,5.6,2,10,5891,1.738090,4163,0.000981,0,0.000659
66530,41901.9570,606000.0000,232145,0.082067,0.000000,0.031193,0.005887,0.278081,-0.710737,0.000000,0.260095,0.098309,0.048383,-0.132785,12.5,8,18,5.6,3,11,5116,1.732002,3137,0.000649,0,0.000347
66540,32318.6602,570500.0000,191402,0.057683,0.000000,0.052464,0.008208,0.199736,-0.656005,0.000000,0.167047,0.108261,0.032522,-0.130410,12.5,7,17,5.6,2,11,5688,1.752824,3387,0.001493,0,0.001919
66550,67751.5547,856150.0000,264335,0.071560,0.000000,0.024967,0.004824,-0.005003,-0.561365,0.000000,0.293182,0.091561,0.000000,0.000000,12.5,7,19,5.6,2,10,4600,1.729975,2416,0.001692,0,0.000501
66560,53590.4180,744400.0000,241483,0.036482,0.000000,0.008581,0.003929,0.029258,-0.608967,0.000000,0.114853,0.091236,0.050637,0.067730,12.5,8,18,5.6,2,11,5000,1.738005,1310,0.000667,0,0.000969
66570,42722.1133,646700.0000,220768,0.000040,0.000000,0.000000,0.003293,0.261940,-0.741846,0.000000,0.424103,0.115617,0.000000,0.000000,12.5,8,19,5.6,2,11,4997,1.726180,2942,0.001441,0,0.001345
66580,94456.7422,1036200.0625,301053,0.040033,0.000000,0.025096,0.007036,0.089556,-0.586773,0.000000,0.315424,0.102123,0.055960,-0.152390,12.5,8,18,5.6,2,11,3512,1.740944,2899,0.001249,0,0.000241
66590,50923.2695,744200.0000,229741,0.153215,0.000000,0.008858,0.011374,0.036445,-0.606354,0.000000,0.104727,0.079935,0.030496,-0.104144,12.5,7,18,5.6,2,10,5131,1.726894,3051,0.001923,0,0.001186
66600,26634.1465,405468.0000,186414,0.000000,0.000000,0.000000,0.003795,-0.948572,-0.781015,0.000000,0.452195,0.090180,0.000000,0.000000,12.5,7,18,5.6,2,11,5734,1.735522,2744,0.002899,0,0.002504
66610,53916.6836,692000.0000,258081,0.033570,0.000000,0.020635,0.005398,0.114407,-0.733601,0.000000,0.471079,0.103320,0.028209,-0.000500,12.5,7,18,5.5,2,11,4183,1.729373,3862,0.000741,0,0.000710
66620,38686.6055,613550.0000,210959,0.124200,0.000000,0.019159,0.010577,0.225927,-0.678156,0.000000,0.327369,0.113496,0.060789,-0.164721,12.5,7,18,5.6,2,11,5125,1.725199,4090,0.002755,0,0.002227
66630,32972.3438,567000.0000,196136,0.004683,0.000000,0.032588,0.006438,0.204820,-0.701727,0.000000,0.170279,0.139024,0.000000,0.000000,12.5,7,18,5.6,2,10,5586,1.734050,3569,0.001599,0,0.001817
